"provincia_id","provincia_desc","año","recetas_confeccionadas_cantidad"
"62","Rio Negro","año_2014",206468
"66","Salta","año_2014",813873
"70","San Juan","año_2014",443592
"74","San Luis","año_2014",306713
"78","Santa Cruz","año_2014",65607
"82","Santa Fe","año_2014",1290821
"86","Santiago del Estero","año_2014",1072222
"90","Tucuman","año_2014",1525842
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2014",34869
"02","Ciudad Autonoma de Buenos Aires","año_2015",168615
"06","Buenos Aires","año_2015",4090324
"10","Catamarca","año_2015",478093
"14","Cordoba","año_2015",1760988
"18","Corrientes","año_2015",874604
"22","Chaco","año_2015",1129330
"26","Chubut","año_2015",235316
"30","Entre Rios","año_2015",838640
"34","Formosa","año_2015",550101
"38","Jujuy","año_2015",568219
"42","La Pampa","año_2015",192051
"46","La Rioja","año_2015",300870
"50","Mendoza","año_2015",879381
"54","Misiones","año_2015",766928
"58","Neuquen","año_2015",189762
"62","Rio Negro","año_2015",211824
"66","Salta","año_2015",856862
"70","San Juan","año_2015",480221
"74","San Luis","año_2015",326806
"78","Santa Cruz","año_2015",64888
"82","Santa Fe","año_2015",1379683
"86","Santiago del Estero","año_2015",1079910
"90","Tucuman","año_2015",1411688
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2015",40810
"02","Ciudad Autonoma de Buenos Aires","año_2016",164264
"06","Buenos Aires","año_2016",3761718
"10","Catamarca","año_2016",408245
"14","Cordoba","año_2016",1506135
"18","Corrientes","año_2016",821064
"22","Chaco","año_2016",1046066
"26","Chubut","año_2016",230398
"30","Entre Rios","año_2016",755752
"34","Formosa","año_2016",473064
"38","Jujuy","año_2016",530089
"42","La Pampa","año_2016",168741
"46","La Rioja","año_2016",270757
"50","Mendoza","año_2016",752409
"54","Misiones","año_2016",702026
"58","Neuquen","año_2016",175493
"62","Rio Negro","año_2016",181898
"66","Salta","año_2016",787999
"70","San Juan","año_2016",554349
"74","San Luis","año_2016",285132
"78","Santa Cruz","año_2016",43234
